Öğrenci Numarası	Quiz 1 Notu	Rapor 1 Notu	Hafta 1 Açıklama	Quiz 2 Notu	Rapor 2 Notu	Hafta 2 Açıklama	Quiz 3 Notu	Rapor 3 Notu	Hafta 3 Açıklama	Quiz 4 Notu	Rapor 4 Notu	Hafta 4 Açıklama	Quiz 5 Notu	Rapor 5 Notu	Hafta 5 Açıklama
90210209	60	90	İlk sorudaki yorumunuz eksik. Sorulan sorunun karşılığı verilmemiş. Son sorudaki yorumunuz da eksik.	70	100		15	95	Quizinizde ilk çiziminiz havaya açık, inek memesi çiziminiz yanlış, adaptör soğutucu sistemleriniz hem havaya açık hem de üstünkörü duruyor. Manometre emniyet musluğu ve pompa'ya gidiş yolu yok. Trapten sonra toplama kabı? 2. sorunuz tamamen boş. son sorunuzda da doğru bir tespit ardından yanlış öneride bulunmuşsunuz. 	30	80		50		İki sorunuzda da doğru yorumlar ancak eksik açıklamalar var. Son sorunuz ise yanlış.
90220003	75	85	Kristalizasyonun nasıl yapıldığını açıklamamışsınız. Süblimasyonda da bir yargıda bulunmuşsunuz ancak açıklamanız yok.	75	90		50	95	Quizinizde ilk sorunuzda çiziminiz çok üstün körü, adaptörlerin şekilleri ve amaçları yanlış gösterilmiş. İkinci soru tamamen yanlış, son sorunuz ise tam doğrudur. 	60	65		50		Tüm sorularınızın cevapları yarı doğru. 2 ayrı yorum veya cevap istenen sorularda hep bir yorumunuz doğru diğeri yanlış.
90220237	70	100	İlk soruda çözücü ile alakalı yorumlarınız eksik. Yöntem açıklamanız da eksik. Son sorunuzda çok küçük bir nokta var.	100	95		95	100	Quizinizde ilk ve ikinci soruda ufak tefek çizim hatalarınız mevcut (claisen başlığının ve damlatma hunisinin şekli gibi) (-5p) Son sorunuz ise tam doğru. Tebrikler	80	75		35		ilk sorunuzda bir yerde doğru olmak kaydıyla diğer kısımda kalitatif ve kantitatifi karıştırmışsınız. İkinci soruda fazla madde eklenmesi durumunda bir reaksiyondan bahsetmişsiniz. Bir reaksiyon yok ki. Bu sorunuz tamamen yanlış. Son sorunuzda ise yorumunuz hatalı. 
90220261	85	65	Vardığınız yargı için son soruda hiçbir açıklama yapmamışsınız.	100	95		95	90	Quizinizde ilk ve ikinci soruda ufak tefek çizim hatalarınız mevcut (claisen başlığının, emniyet ve üç yollu musluğun kullanılmaması, gibi) (-5p) Son sorunuz ise tam doğru. Tebrikler	85	65		65		Quizinizde İlk sorunuzda çok ufak 1-2 nokta hatalı. Ancak ikinci ve üçüncü sorularınız yarı doğru.
90230207	R	R		95	100		95	100	Quizinizde ilk ve ikinci soruda ufak tefek çizim hatalarınız mevcut (condenserda su giriş çıkışı, damlatma hunisi şekil yanlışı, sistemin bazı noktalarda havaya açılması, claisen başlığının şekli gibi) (-5p) Son sorunuz ise tam doğru. Tebrikler	55	90		75		İlk sorunuz çok küçük eksiklikler haricinde sorunsuz. İkinci sorunuzun cevabı ise fazla madde eklenmesinin madde sürüklenmesine neden olacağı, bu sürüklenmenin eklenen aşırı malzemenin silika ile etkileşemeden çözücüde kalma, istemsiz silika yüzeyinde kristallenme gibi yan durumlar oluşturabilmesi gibi özellikleri tartışmanızı beklemiştik. Bu yorumlar bulunmamaktadır. Son sorunuz ise doğru cevaplanmış ancak bir açıklaması bulunmuyor. 
90230242	70	90	İlk sorunuzda yorum eksik. Son sorunuzda ise hatalı ve eksik	25	50	Geç teslim	25	95	Quizinizde çizimleriniz çok kötü ve eksik. Son soruda da fraksiyonlu vakum damıtması demişsiniz. Fraksiyonlu vakum damıtması yoktur. Niçin bunu tercih ettiğinizi de belirtmemişsiniz ayrıca	60	50		70		Tüm sorularda yaptığınız 3 yorumun 2 si doğru yaklaşık. Hiçbir soru tam doğru cevaplanmamış ancak doğru bilgi oranı yüksekti.
90230250	50	100	İlk sorunuz yarı doğru. Son sorunuz cevaplanmamış	90	70	Rapor geç teslim edildi	60	85	Quizinizde ilk sorunuzda çizim hataları var (-5p). İkinci sorunuz hiç cevaplanmamış (-35p) Son sorunuzun cevabı ise doğrudur.	45	80		60		İlk sorunuzda açıklamalarda eksikleriniz var. İkinci sorunun cevabı çok eksik. Son soruda ise Rt hk. yorumunuz bulunmuyor.
140200062	0	100	Quizinizde üç sorunuzda çok temel hatalar var. Bambaşka şeyleri açıklamışsınız sürekli ve açıklamalarınız hep ters. Madde soğutularak uçurulur demişsiniz süblimleşme işlemi için, sıcakta çözmemeli soğukta çözmeli ideal çözücü demişsiniz? Tüm yargılarınız hatalı maalesef.	100	95		80	95	Quizinizde çizimleriniz ufak hatalar barındırsa da kritik bir sorun 1 yer hariç yok. O yer de damlatma hunisi içine su buharı yazmışsınız. Ancak orada su olacak. Son sorunuzda ise doğru bir bilgi temeline yanlış bir sonuç dayandırmışsınız. Vakum sistemi önermeliydiniz. Azeotropik damıtma da karışmayan sistemler için yapılmaktadır maalesef. 	60	100		35		İlk sorunuzda bazı prensipler birbirlerine girmişler. Hatalı yorumlar var. Benzer durum 2. sorunuzda ve 3. sorunuzda da var. Son soruda tamamen alakasız bir cevap vermişsiniz. Reaksiyonlar ve GC ile ilgili yorumlarınız mevcut. 
90210774	40	100	Quizinizde 1. sorunuz tamamen hatalı. 3. sorunuz ise yarım.	80	100	Elinize sağlık.	60	90	Raporunuzda hiçbir damıtma sistemini çizmemişsiniz. İkinci sorunuz tamamen eksik (-35p). Diğerlerinde küçük birkaç noktadan 5 puan kaybettiniz. 	45	100	Referanslarınızda illa bu çalışmanın geliştirilmesi üzerine değil, uygulamasını içeren hakemli dergilerde yayımlanmış çalışmaları verebilirsiniz. 	30	0	ilk sorunuzda ufak bir eksik var. 2 ve 3 ise direkt yanlış. Raporunuz yüklenmemiş o yüzden 0 girdim.
90220205	90	100	Quizinizde sadece son sorunuz hakkında süblimasyon verimi yorumunuz hatalı. Onun dışında kağıdınız gayet güzel elinize sağlık. 	100	100	Faz diyagramı çiziminiz kısmen hatalı. Ayrımın gerçekleştiği aralık zemine tam paralel gidiyor. Halbuki biraz eğim olmalıydı.	70	100	Raporunuz gayet iyi. Quizinizde ilk soruda manometre ve inek memesi eksik, ikinci soruda basit su buharı damıtması yerine diğerini çizmişsiniz. Son sorunuz ise tam doğru. 	75	100	Tebrikler	65	0	İlk sorunuz doğru ancak 2 ve 3. sorularınız yarım yarım. Raporunuz yüklenmemiş o yüzden 0 girdim.
